t,2024_EU27.Elec,2025_EU27.Elec,2026_EU27.Elec,2027_EU27.Elec,2028_EU27.Elec,2029_EU27.Elec,2030_EU27.Elec,2031_EU27.Elec,2032_EU27.Elec,2033_EU27.Elec,2034_EU27.Elec,2035_EU27.Elec,2036_EU27.Elec,2037_EU27.Elec,2038_EU27.Elec,2039_EU27.Elec,2040_EU27.Elec,2041_EU27.Elec,2042_EU27.Elec,2043_EU27.Elec,2044_EU27.Elec,2045_EU27.Elec,2046_EU27.Elec,2047_EU27.Elec,2048_EU27.Elec,2049_EU27.Elec,2050_EU27.Elec
10,247798.03211646664,261053.57113533776,274309.1101542089,287564.64917308005,300820.1881919512,314085.67135112156,304572.84332060337,312653.71514803276,320738.3012113052,328822.8872745777,336907.4733378502,344992.05940112274,353086.58960469445,361171.17566796695,369255.7617312394,377340.3477945119,351466.54436326737,363040.6740442218,374615.6533525234,386190.632660825,397765.61196912656,409340.59127742815,420915.5705857297,432490.5498940313,444065.5292023329,455670.34093153215,404027.3886875873
11,257885.03657025864,271680.16292958905,285475.2892889195,299270.4156482499,313065.54200758034,326871.0172989132,316970.9548021145,325380.7710905535,333794.45280858467,342208.1345266159,350621.81624464714,359035.49796267843,367459.52861271217,375873.2103307434,384286.8920487746,392700.5737668058,365773.53690905514,377818.8095472131,389864.96639812127,401911.1232490294,413957.28009993763,426003.4369508458,438049.593801754,450095.75065266213,462141.9075035704,474219.11115048605,420473.95218261203
12,264805.5271218963,278970.8534854537,293136.1798490111,307301.50621256855,321466.83257612603,335642.78559111897,325477.0493278974,334112.54778440314,342752.0154014865,351391.48301856994,360030.95063565334,368670.4182527368,377320.5125212557,385959.98013833916,394599.4477554225,403238.91537250596,375589.2762783634,387957.7906082182,400327.2128791716,412696.6351501249,425066.0574210783,437435.4796920317,449804.9019629851,462174.3242339384,474543.74650489184,486945.0487301518,431757.60807823716
13,263759.01725717366,277868.3623353795,291977.70741358545,306087.0524917913,320196.3975699972,334316.32730317547,324190.7659690698,332792.1369871503,341397.4614797094,350002.7859722686,358608.1104648278,367213.434957387,375829.34410491853,384434.6685974777,393039.99309003685,401645.31758259604,374104.94969733857,386424.58373228845,398745.12212015915,411065.66050802986,423386.19889590057,435706.7372837713,448027.275671642,460347.8140595127,472668.3524473834,485020.64480017126,430051.30458474957
14,261325.350363037,275304.5105233134,289283.6706835898,303262.8308438663,317241.9910041427,331231.6381562873,321199.5039347771,329721.5113272702,338247.4357160959,346773.3601049217,355299.28449374746,363825.20888257324,372361.6202632672,380887.5446520929,389413.46904091863,397939.3934297444,370653.13659733994,382859.0991233097,395065.95765786467,407272.81619241956,419479.67472697457,431686.5332615295,443893.3917960845,456100.2503306394,468307.1088651944,480545.42837535386,426083.28243471356
15,261141.358662758,275110.6764964374,289079.9943301168,303049.31216379616,317018.62999747554,330998.42743943224,320973.35655651614,329489.3638474969,338009.2853769652,346529.20690643357,355049.12843590195,363569.04996537033,372099.45110311604,380619.3726325844,389139.29416205274,397659.2156915211,370392.1703316426,382589.53898872226,394787.803023533,406986.0670583438,419184.3310931546,431382.59512796544,443580.85916277627,455779.12319758703,467977.3872323978,480207.0900920406,425783.28938969626
16,268236.5766510233,282585.4412393219,296934.30582762056,311283.1704159192,325632.0350042179,339991.6639320426,329694.21159401606,338441.5990402835,347193.0070750072,355944.41510973097,364695.82314445474,373447.2311791786,382209.4035534285,390960.81158815225,399712.219622876,408463.62765759975,380455.73591584235,392984.50741906004,405514.1986274469,418043.8898358337,430573.5810442205,443103.27225260733,455632.9634609942,468162.6546693809,480692.3458777678,493254.3301047329,437351.83322147565
17,281621.47824497375,296686.34563534055,311751.21302570734,326816.08041607414,341880.94780644093,356957.1166727195,346145.8254394396,355329.70414142706,364517.8040576822,373705.90397393744,382894.0038901927,392082.10380644794,401281.5051986149,410469.6051148701,419657.7050311253,428845.8049473805,399440.330223101,412594.2825862797,425749.20054756023,438904.1185088407,452059.03647012124,465213.9544314018,478368.8723926823,491523.7903539628,504678.70831524336,517867.5307042591,459175.5208135644
18,289751.2595731711,305251.0159442549,320750.77231533866,336250.52868642245,351750.28505750623,367261.6691527994,356138.28015570634,365587.27686665085,375040.6166488647,384493.9564310786,393947.2962132925,403400.6359955064,412865.60350192967,422318.9432841436,431772.2830663574,441225.62284857134,410971.2779285596,424504.9554355042,438039.6264152053,451574.29739490635,465108.96837460744,478643.6393543085,492178.3103340096,505712.9813137106,519247.6522934117,532817.2064457409,472430.88968222775
19,291028.2536645873,306596.32068713615,322164.387709685,337732.45473223383,353300.5217547827,368880.26774734096,357707.85566041997,367198.4960659854,376693.4986836389,386188.5013012925,395683.5039189461,405178.50653659966,414685.18812426267,424180.19074191625,433675.19335956976,443170.19597722334,412782.51386392576,426375.83710368606,439970.15819464397,453564.4792856018,467158.8003765597,480753.12146751763,494347.44255847554,507941.7636494333,521536.08474039123,535165.4427413774,474512.99091490376
