t,2024_EU27.Elec,2025_EU27.Elec,2026_EU27.Elec,2027_EU27.Elec,2028_EU27.Elec,2029_EU27.Elec,2030_EU27.Elec,2031_EU27.Elec,2032_EU27.Elec,2033_EU27.Elec,2034_EU27.Elec,2035_EU27.Elec,2036_EU27.Elec,2037_EU27.Elec,2038_EU27.Elec,2039_EU27.Elec,2040_EU27.Elec,2041_EU27.Elec,2042_EU27.Elec,2043_EU27.Elec,2044_EU27.Elec,2045_EU27.Elec,2046_EU27.Elec,2047_EU27.Elec,2048_EU27.Elec,2049_EU27.Elec,2050_EU27.Elec
941,263117.64296325756,277192.67880217655,291267.71464109555,305342.75048001454,319417.78631893353,333503.38107446086,323402.4417412206,331982.89708285977,340567.2962854412,349151.6954880227,357736.09469060425,366320.49389318575,374915.4520123756,383499.8512149571,392084.25041753857,400668.64962012006,373195.25075905095,385484.92753732525,397775.5064694346,410066.0854015438,422356.66433365317,434647.24326576246,446937.8221978718,459228.40112998104,471518.9800620904,483841.2357440247,429005.5627000018
942,274090.8779113525,288752.90850069525,303414.939090038,318076.9696793808,332739.0002687236,347412.0301308266,336889.8344376866,345828.1348533582,354770.54360739846,363712.9523614387,372655.361115479,381597.7698695193,390551.1778963198,399493.58665036,408435.9954044003,417378.40415844053,388759.23621427227,401561.4499292771,414364.6034221466,427167.756915016,439970.9104078855,452774.06390075496,465577.2173936244,478380.3708864939,491183.52437936334,504019.6756905134,446897.09889852325
943,289262.8312335813,304736.4599520035,320210.08867042576,335683.717388848,351157.3461072703,366642.58294926217,355537.9444432851,364971.0131552241,374408.41761739756,383845.8220795711,393283.2265417446,402720.6310039181,412169.64358966134,421607.04805183486,431044.4525140083,440481.85697618185,410278.51124587655,423789.37528294016,437301.23111808154,450813.0869532229,464324.94278836437,477836.79862350575,491348.6544586472,504860.5102937885,518372.36612892995,531919.0463347805,471634.52166864835
944,305840.26085811167,322200.67129688786,338561.081735664,354921.4921744401,371281.9026132163,387654.58642816555,375913.549659219,385887.22025923553,395865.47508798644,405843.7299167374,415821.9847454883,425800.2395742393,435790.7677791634,445769.02260791435,455747.2774366652,465725.5322654162,433791.25610020413,448076.4173284619,462362.62719397986,476648.8370594978,490935.04692501575,505221.2567905337,519507.4666560517,533793.6765215696,548079.8863870876,562402.9163811249,498663.5321298908
945,319753.69154684106,336858.3775628104,353963.0635787797,371067.749594749,388172.4356107183,405289.95334913017,393014.78774822335,403442.18531739764,413874.3756632213,424306.56600904505,434738.7563548688,445170.9467006926,455615.9687689589,466048.15911478264,476480.34946060635,486912.53980643005,453525.49435318256,468460.52293398906,483396.6478571611,498332.77278033306,513268.89770350506,528205.0226266771,543141.1475498491,558077.2724730211,573013.3973961931,587988.0174866929,521348.9708351142
946,324402.8395610915,341756.22393185017,359109.60830260883,376462.99267336744,393816.3770441261,411182.77970773604,398729.13591162226,409308.1455371515,419892.0176252436,430475.88971333567,441059.7618014278,451643.63388951996,462240.5242704633,472824.3963585555,483408.2684466475,493992.14053473965,460119.6548186456,475271.8354145964,490425.12829348847,505578.42117238045,520731.7140512725,535885.0069301645,551038.2998090566,566191.5926879486,581344.8855668406,596537.2333242865,528929.2696606384
947,324676.4301973004,342044.44983905973,359412.46948081907,376780.48912257847,394148.5087643378,411529.55767814646,399065.41089033906,409653.3425030427,420246.1406791495,430838.9388552563,441431.73703136307,452024.5352074699,462630.362655626,473223.16083173285,483815.95900783956,494408.7571839464,460507.7045325888,475672.6639770072,490838.7366424295,506004.8093078517,521170.881973274,536336.9546386963,551503.0273041186,566669.0999695408,581835.1726349631,597040.3331165334,529375.3511301833
948,320881.23993960215,338046.2422607021,355211.24458180205,372376.246902902,389541.24922400195,406719.12851608545,394400.67696224025,404864.8446944513,415333.8221040944,425802.7995137375,436271.77692338056,446740.7543330237,457222.6087136504,467691.5861232935,478160.56353293656,488629.5409425797,455124.76265172916,470112.4566682048,485101.2508930813,500090.0451179577,515078.8393428342,530067.6335677108,545056.4277925872,560045.2220174636,575034.0162423401,590061.4413801673,523187.4052603401
949,313345.37971090974,330107.26386174414,346869.14801257855,363631.03216341295,380392.91631424736,397167.37502183404,385138.22093256225,395356.6388495009,405579.75348913204,415802.8681287632,426025.98276839446,436249.09740802564,446484.78660440916,456707.90124404035,466931.01588367147,477154.13052330265,444436.2082239109,459071.9179134753,473708.7019731687,488345.48603286204,502982.2700925554,517619.0541522488,532255.8382119421,546892.6222716355,561529.4063313289,576203.9140612792,510900.4072413961
950,306231.6997762921,322613.0495817336,338994.39938717516,355375.74919261667,371757.0989980582,388150.73788812495,376394.67399777105,386381.1097020908,396372.1355024088,406363.16130272683,416354.1871030449,426345.212903363,436348.52778830624,446339.55358862435,456330.57938894234,466321.6051892604,434346.4569737829,448649.90149816894,462954.39600194537,477258.8905057217,491563.3850094981,505867.8795132745,520172.37401705096,534476.8685208273,548781.3630246037,563122.7247822558,499301.761750168
951,302229.50934421574,318396.76870277105,334564.02806132636,350731.2874198817,366898.5467784369,383077.93461363035,371475.51257830067,381331.4339777474,391191.8854845032,401052.33699125896,410912.78849801474,420773.2400047705,430645.8199881644,440506.2714949202,450366.7230016759,460227.1745084317,428669.91455320193,442786.4251028785,456903.9719095989,471021.51871631935,485139.06552303984,499256.6123297603,513374.15913648077,527491.7059432012,541609.2527499216,555763.1849865563,492776.30819635506
952,302927.41086490796,319132.00329168764,335336.59571846726,351541.18814524694,367745.7805720266,383962.5294822472,372333.3153973929,382211.9958667512,392095.2169042394,401978.43794172764,411861.65897921595,421744.8800167042,431640.2575376334,441523.4785751217,451406.6996126099,461289.9206500982,429659.78938670456,443808.89746201935,457959.0441872793,472109.19091253926,486259.3376377992,500409.48436305916,514559.6310883192,528709.7778135791,542859.924538839,557046.5407144218,493914.2160584879
953,314922.5587723841,331768.81146485114,348615.06415731827,365461.3168497854,382307.56954225246,399166.4600837012,387076.75897128717,397346.60983035143,407621.1810523887,417895.75227442605,428170.3234964634,438444.8947185007,448732.1037895197,459006.675011557,469281.24623359425,479555.8174556316,446673.21418333653,461382.590620097,476093.04683467443,490803.5030492518,505513.9592638293,520224.4154784067,534934.8716929841,549645.3279075616,564355.784122139,579104.1538836613,513471.95122121554
954,328189.4694108983,345745.4131776918,363301.3569444853,380857.3007112788,398413.24447807233,415982.3584952535,403383.3480944545,414085.8424394259,424793.25600461947,435500.6695698131,446208.0831350068,456915.4967002004,467636.08051578177,478343.4940809754,489050.90764616895,499758.3212113626,465490.45496878104,480819.50115386146,496149.67260513507,511479.84405640856,526810.0155076821,542140.1869589557,557470.3584102292,572800.5298615027,588130.7013127763,603500.3835152129,535103.2580376924
955,327357.8828536355,344869.3422959846,362380.80173833366,379892.26118068275,397403.7206230318,414928.3169441823,402361.23068678414,413036.6063967718,423716.88886236044,434397.1713279492,445077.453793538,455757.7362591267,466451.1556035169,477131.4380691057,487811.7205346943,498492.0030002831,464310.96677380335,479601.17128378054,494892.4982086825,510183.8251335844,525475.1520584864,540766.4789833883,556057.8059082903,571349.1328331922,586640.4597580942,601971.1973194005,533747.3806631673
956,315854.3116135404,332750.4068573644,349646.50210118835,366542.5973450123,383438.6925888363,400347.46307290316,388221.9924894035,398522.22847792145,408827.19879542245,419132.1691129235,429437.13943042455,439742.1097479256,450059.75530566956,460364.7256231706,470669.6959406716,480974.66625817266,447994.77411859855,462747.6707888412,477501.65043161024,492255.6300743792,507009.60971714824,521763.58935991727,536517.5690026863,551271.5486454553,566025.5282882242,580817.5336517221,514991.14676970046
957,301940.68118196016,318092.4901636831,334244.29914540594,350396.10812712886,366547.9171088518,382711.8429765324,371120.5088930095,380967.01139861194,390818.0396822883,400669.0679659648,410520.09624964127,420371.1245333177,430234.26970295195,440085.29798662843,449936.32627030485,459787.3545539813,428260.2525585698,442363.27254669135,456467.32780154917,470571.3830564069,484675.43831126473,498779.49356612255,512883.5488209804,526987.6040758381,541091.659330696,555232.0652434271,492305.3823896452
958,292903.06859688094,308571.42569145304,324239.78278602514,339908.13988059724,355576.49697516934,371256.6082761139,360012.2230912324,369564.00255847076,379120.1723393313,388676.34212019184,398232.51190105244,407788.681681913,417356.60566914605,426912.77545000665,436468.94523086713,446025.1150117277,415441.6743098174,429122.56624804076,442804.46246565663,456486.35868327244,470168.2549008883,483850.1511185042,497532.04733612004,511213.94355373585,524895.8397713518,538612.9986080851,477569.82141068054
959,281111.04965710314,296148.61252852326,311186.1753999434,326223.73827136355,341261.30114278366,356310.1450066055,345518.4488416835,354685.6821007657,363857.1289233197,373028.5757458738,382200.02256842784,391371.46939098195,400554.19720593764,409725.64402849175,418897.09085104574,428068.53767359984,398716.35929245694,411846.47060000483,424977.5457555435,438108.62091108214,451239.6960666208,464370.7712221595,477501.8463776982,490632.9215332368,503763.9966887755,516928.91482151917,458343.2820435166
960,264610.511518566,278765.405850371,292920.300182176,307075.194513981,321230.088845786,335395.6020030462,325237.35227989877,333866.49113749486,342499.5962325867,351132.7013276786,359765.80642277043,368398.91151786235,377042.6354384094,385675.74053350126,394308.8456285931,402941.950723685,375312.6741616558,387672.07971908216,400032.3925489554,412392.70537882857,424753.0182087018,437113.33103857504,449473.6438684483,461833.95669832145,474194.26952819474,486586.43883443356,431439.64088417235
961,252713.9985331274,266232.50890853006,279751.0192839327,293269.5296593353,306788.040034738,320316.69182827673,310615.1425931304,318856.3276166804,327101.3005613183,335346.2735059562,343591.24645059416,351836.2193952321,360091.3337580061,368336.30670264404,376581.2796472819,384826.25259191985,358439.1490845896,370242.8933122282,382047.5040226323,393852.11473303643,405656.72544344055,417461.33615384466,429265.94686424884,441070.5575746529,452875.168285057,464710.2032498694,412042.72705502756
962,245724.7488829932,258869.38110182344,272014.01332065364,285158.64553948387,298303.27775831404,311457.7709165432,302024.53507120156,310037.79564309126,318054.73937445576,326071.6831058203,334088.6268371849,342105.57056854945,350132.375239313,358149.31897067756,366166.26270204206,374183.2064334066,348525.8846359427,360003.17557768436,371481.30903808825,382959.4424984921,394437.57595889596,405915.70941929985,417393.84287970373,428871.97634010756,440350.10980051145,451857.82607911224,400646.961475654
963,240341.62198457058,253198.2928824972,266054.96378042374,278911.63467835035,291768.3055762769,304634.62138860556,295408.0407778264,303245.75371471106,311087.06912357395,318928.3845324369,326769.69994129986,334611.0153501628,342461.9756734278,350303.2910822908,358144.6064911537,365985.92190001666,340890.6786873809,352116.53498987533,363343.2153538562,374569.8957178371,385796.576081818,397023.25644579896,408249.93680977984,419476.6171737607,430703.29753774166,441958.91264492867,391869.9317100529
964,237624.2441497846,250335.55349011376,263046.86283044296,275758.1721707721,288469.4815111013,301190.3267174022,292068.0647237463,299817.16201747174,307569.82105249615,315322.4800875206,323075.1391225451,330827.7981575696,338589.99305856583,346342.6520935903,354095.3111286147,361847.9701636392,337036.46164956084,348135.39489627734,359235.14288738254,370334.8908784876,381434.6388695928,392534.38686069794,403634.13485180313,414733.88284290826,425833.6308340134,436961.98642303376,387439.32723233005
965,238875.19557808223,251653.42246140755,264431.64934473287,277209.8762280582,289988.1031113835,302775.916061388,293605.6307411936,301395.5224595884,309188.9946697485,316982.4668799087,324775.93909006886,332569.411300229,340372.46957706835,348165.9417872285,355959.4139973886,363752.8862075488,338810.7597419017,349968.1223229113,361126.30393745797,372284.48555200454,383442.6671665512,394600.84878109785,405759.03039564454,416917.2120101911,428075.39362473774,439262.3334393219,389478.9666702759
966,244179.0530994306,257241.00092163618,270302.9487438418,283364.89656604733,296426.84438825294,309498.5911210528,300124.69367340114,308087.54799547326,316054.0623086413,324020.5766218095,331987.0909349777,339953.6052481458,347929.91847190826,355896.43278507644,363862.9470982445,371829.4614114127,346333.53326395806,357738.6279768053,369144.55990857375,380550.4918403421,391956.4237721106,403362.35570387903,414768.28763564746,426174.2195674158,437580.15149918426,449015.48016273556,398126.7500526484
967,252907.57789024472,266436.44346782396,279965.30904540315,293494.17462298233,307023.0402005616,320562.05496462056,310853.0743260899,319100.5721115288,327351.86071960966,335603.1493276906,343854.43793577154,352105.7265438525,360367.1643384133,368618.4529464942,376869.7415545751,385121.03016265604,358713.714088698,370526.5000046974,382340.1530671897,394153.80612968194,405967.4591921742,417781.1122546665,429594.7653171588,441408.418379651,453222.0714421433,465066.17206407496,412358.35249196884
968,265255.04365183756,279444.41614623537,293633.78864063317,307823.161135031,322012.5336294288,336212.5508143701,326029.5578626684,334679.7153761156,343333.8487879276,351987.9821997396,360642.1156115517,369296.2490233637,377961.0271257192,386615.1605375312,395269.2939493432,403923.4273611552,376226.8520494994,388616.3623596968,401006.78215225425,413397.2019448117,425787.6217373691,438178.0415299266,450568.4613224841,462958.88111504144,475349.3009075989,487771.65477178665,432490.5315329267
969,280695.24211112526,295710.5620571155,310725.8820031057,325741.20194909594,340756.5218950861,355783.1061471123,345007.37260160624,354161.0460779281,363318.9268851974,372476.80769246677,381634.68849973613,390792.5693070055,399961.71442031086,409119.5952275802,418277.4760348495,427435.35684211884,398126.59495875024,411237.2847623485,424348.9369882544,437460.58921416034,450572.24144006625,463683.8936659722,476795.54589187814,489907.19811778405,503018.85034368996,516164.29548770393,457665.3200937661
970,292121.303613546,307747.8415049886,323374.37939643115,339000.9172878737,354627.4551793162,370265.7159048859,359051.3422410129,368577.62779058155,378108.2919359249,387638.9560812684,397169.6202266118,406700.28437195526,416242.6713514258,425773.3354967692,435303.99964211264,444834.66378745605,414332.85098765406,427977.2283126666,441622.60723662697,455267.9861605872,468913.3650845476,482558.7440085079,496204.1229324683,509849.5018564286,523494.88078038895,537175.4282067306,476295.1766441889
971,299751.6041644092,315786.3121523364,331821.0201402636,347855.72812819073,363890.4361161179,379937.1731422956,368429.8765026364,378204.9916342225,387984.5997318855,397764.2078295485,407543.81592721154,417323.4240248746,427115.06116078806,436894.6692584511,446674.27735611406,456453.8854537771,425155.3556869834,439156.1284495466,453157.9289731379,467159.7294967292,481161.53002032056,495163.3305439119,509165.13106750324,523166.93159109453,537168.7321146859,551206.6197530287,488736.1568252492
972,301870.09586311347,318018.12900190434,334166.16214069526,350314.1952794861,366462.22841827705,382622.3756104353,371033.7512578733,380877.95192552474,390726.6773132494,400575.402700974,410424.1280886987,420272.8534764234,430133.6929175155,439982.4183052402,449831.14369296486,459679.86908068956,428160.13724334334,442259.860338318,456360.6184580124,470461.3765777067,484562.1346974011,498662.8928170955,512763.65093678987,526864.4090564842,540965.1671761785,555102.2674559753,492190.295107435
973,294591.7041691011,310350.39198391757,326109.07979873405,341867.76761355053,357626.455428367,373396.9652145374,362087.7542533269,371694.60133956856,381305.86405033054,390917.1267610926,400528.3894718546,410139.65218261664,419762.73686473264,429373.99957549473,438985.2622862567,448596.52499701874,417836.76560327114,431596.53019003745,445357.30484603625,459118.079502035,472878.8541580338,486639.6288140326,500400.4034700314,514161.17812603014,527921.9527820289,541718.1933520895,480323.0919466161
974,288964.29176415113,304421.95061569463,319879.6094672382,335337.26831878175,350794.92717032525,366264.18216504325,355171.0044225305,364594.33754792233,374022.0019487511,383449.66634958005,392877.33075040893,402304.9951512378,411744.25569524115,421171.92009607004,430599.58449689887,440027.24889772775,409855.0751322784,423351.99501286686,436849.90566792816,450347.81632298935,463845.72697805066,477343.63763311197,490841.5482881732,504339.45894323447,517837.3695982958,531370.0686828804,471147.7618617854
975,285075.5457597644,300325.18268330727,315574.8196068502,330824.4565303931,346074.09345393605,361335.1704651935,350391.27950949717,359687.7978342932,368988.58914625144,378289.3804582097,387590.171770168,396890.9630821263,406203.1944817992,415503.9857937575,424804.7771057157,434105.568417674,404339.437625416,417654.7222840996,430970.98438387754,444287.24648365536,457603.5085834333,470919.7706832112,484236.03278298915,497552.294882767,510868.55698254495,524219.1393454666,464807.27610408084
976,287147.61151300435,302508.0901095305,317868.5687060566,333229.04730258277,348589.5258991089,363961.5277353924,352938.0913329056,362302.18121033633,371670.57513304875,381038.96905576123,390407.3629784738,399775.75690118625,409155.6740636561,418524.0679863686,427892.46190908103,437260.8558317935,407278.3705288155,420690.43706074735,434103.48813828407,447516.5392158207,460929.59029335744,474342.64137089415,487755.69244843087,501168.7435259675,514581.79460350424,528029.415400313,468185.718250373
977,300120.12021256925,316174.5413467783,332228.9624809873,348283.38361519633,364337.80474940536,380404.26971042174,368882.8259455304,378669.95865016215,388461.58984454465,398253.2210389272,408044.85223330976,417836.4834276923,427640.1584488822,437431.7896432648,447223.4208376473,457015.05203202984,425678.0437038452,439696.02908304817,453715.0434868136,467734.057890579,481753.0722943444,495772.08669810987,509791.1011018753,523810.1155056407,537829.1299094062,551884.2757935936,489337.0113815016
978,315038.7995999848,331891.2704000482,348743.7412001116,365596.212000175,382448.68280023837,399313.79611403024,387219.6325811779,397493.2741371292,407771.6377983831,418050.0014596371,428328.3651208911,438606.728782145,448897.7349571275,459176.0986183815,469454.46227963537,479732.82594088936,446838.0853957582,461552.89119933563,476268.777179286,490984.66315923625,505700.5491391866,520416.43511913694,535132.3210990872,549848.2070790376,564564.0930589879,579317.9065801237,513661.4784649684
979,319459.52739699994,336548.4775964542,353637.4277959085,370726.37799536274,387815.328194817,404917.0983119003,392653.22550838283,403071.0301733246,413493.6232056999,423916.2162380752,434338.80927045055,444761.40230282594,455196.8152528303,465619.4082852056,476042.00131758087,486464.5943499562,453108.2640130658,468029.55279945716,482951.93691961083,497874.3210397644,512796.705159918,527719.0892800717,542641.4734002253,557563.8575203789,572486.2416405325,587447.085513573,520869.3448578992
980,311392.6650668044,328050.09203153214,344707.51899625984,361364.9459609876,378022.3729257153,394692.29608471517,382738.1056198248,392892.8441095308,403052.2500527593,413211.6559959878,423371.0619392164,433530.4678824449,443702.3700199456,453861.7759631741,464021.18190640263,474180.5878496312,441666.55802842963,456211.0604863315,470756.630619072,485302.2007518125,499847.77088455297,514393.3410172935,528938.911150034,543484.4812827745,558030.0514155149,572613.1101310718,507716.56356123695
981,301192.1115581153,317303.8770666416,333415.64257516793,349527.40808369423,365639.1735922206,381763.02594658977,370200.42903276783,380022.52014521864,389849.12581546005,399675.7314857016,409502.33715594304,419328.94282618456,429167.6353422689,438994.24101251044,448820.84668275184,458647.45235299336,427198.51216999226,441266.5680309672,455335.656592051,469404.7451531347,483473.83371421846,497542.92227530223,511612.010836386,525681.0993974698,539750.1879585535,553855.5370571659,491084.8616785253
982,293372.1694377648,309065.62029295723,324759.07114814967,340452.5220033421,356145.97285853454,371851.1967451262,360588.80304100754,370155.8802236351,379727.35475122056,389298.82927880605,398870.30380639154,408441.77833397704,418025.02589296177,427596.50042054727,437167.9749481327,446739.4494757182,416107.0276626877,429809.83032360516,443513.63887232536,457217.4474210455,470921.2559697657,484625.0645184859,498328.87306720606,512032.6816159262,525736.4901646464,539475.6178075643,478334.6765072068
983,281023.3149877807,296056.1846406043,311089.0542934279,326121.9239462515,341154.7935990752,356198.94072350627,345410.6126435302,354574.98481202347,363743.56922893686,372912.1536458503,382080.73806276376,391249.32247967715,400429.18436819816,409597.76878511155,418766.35320202494,427934.9376189384,398591.9200433466,411717.93344732525,424844.91039847804,437971.8873496308,451098.8643007836,464225.84125193645,477352.8182030893,490479.795154242,503606.77210539486,516767.5814713702,458200.233250752
984,267572.82164625346,281886.1797767746,296199.5379072957,310512.8960378168,324826.25416833797,339150.3500018827,328878.3788477091,337604.1207664776,346333.8733247024,355063.6258829272,363793.378441152,372523.1309993768,381263.6212606253,389993.3738188501,398723.12637707486,407452.8789352997,379514.29309711716,392012.0619872957,404510.7483068205,417009.4346263453,429508.1209458701,442006.80726539495,454505.4935849198,467004.1799044446,479502.86622396944,492033.76565256517,436269.60024724674
985,258319.2299700743,272137.58277516713,285955.93558026,299774.2883853529,313592.64119044575,327421.3603517314,317504.6294128585,325928.6050599585,334356.45264476,342784.30022956163,351212.1478143632,359639.9953991648,368078.2093401592,376506.0569249608,384933.9045097623,393361.7520945639,366389.3789821949,378454.93188921997,390521.37049771816,402587.8091062163,414654.2477147145,426720.6863232127,438787.12493171095,450853.5635402091,462920.0021487073,475017.53982578404,421181.8917252087
986,253516.93625864692,267078.39843741717,280639.86061618745,294201.3227949577,307762.784973728,321334.42079254234,311602.0472266423,319869.4166261936,328140.5859820377,336411.7553378818,344682.92469372594,352954.0940495701,361235.43704545835,369506.6064013025,377777.7757571466,386048.9451129907,359578.0029540772,371419.2507295911,383261.36774091044,395103.48475222965,406945.60176354897,418787.71877486823,430629.83578618756,442471.95279750676,454314.069808826,466186.7077402776,413351.8933536846
987,251549.21236603873,265005.4144641939,278461.61656234914,291917.81866050436,305374.0207586596,318840.3175320572,309183.4837872043,317386.68429714773,325593.65526924084,333800.626241334,342007.5972134272,350214.56818552036,358431.63383285597,366638.60480494914,374845.57577704225,383052.5467491354,356787.06425739307,368536.4037505254,380286.60573271045,392036.80771489546,403787.0096970805,415537.21167926554,427287.4136614506,439037.6156436356,450787.8176258207,462568.303633733,410143.57753616833
988,255787.9268681542,269470.87187057204,283153.8168729898,296836.76187540765,310519.7068778255,324212.91665518883,314393.3610283876,322734.7890630297,331080.0510937616,339425.3131244936,347770.5751552255,356115.83718595747,364471.363991635,372816.6260223669,381161.8880530988,389507.15008383075,362799.0826978817,374746.40371213027,386694.6017487502,398642.79978537007,410590.99782199,422539.1958586099,434487.3938952298,446435.59193184966,458383.7899684696,470362.78232992615,417054.67661574867
989,274402.09629602614,289080.7749894971,303759.45368296804,318438.132376439,333116.81106990995,347806.5015253415,337272.35833226354,346220.8078030161,355173.3702769785,364125.93275094085,373078.4952249033,382031.0576988657,390994.6319347887,399947.19440875115,408899.75688271347,417852.3193566759,389200.65558015386,402017.40565734264,414835.09657947335,427652.787501604,440470.47842373466,453288.1693458654,466105.8602679961,478923.5511901267,491741.2421122574,504591.96832026984,447404.5313030396
990,313128.72529874294,329879.01988613507,346629.3144735272,363379.6090609193,380129.90364831145,396892.7640981097,384871.92725069565,395083.2799116248,405299.3260478211,415515.3721840175,425731.4183202139,435947.4644564103,446176.0764550129,456392.1225912093,466608.1687274056,476824.214863602,444128.9145100951,458754.50472356466,473381.16856431816,488007.83240507165,502634.4962458252,517261.1600865787,531887.8239273322,546514.4877680857,561141.1516088392,575805.5130368111,510547.15860722517
991,348367.0927129253,367002.4045065899,385637.7163002546,404273.0280939192,422908.33988758386,441557.6316600885,428184.01357214473,439544.5147071345,450910.2375040207,462275.9603009069,473641.6830977932,485007.4058946794,496387.10867040564,507752.8314672919,519118.5542641781,530484.2770610644,494109.5665688845,510381.06748920406,526653.7628589157,542926.4582286273,559199.1535983391,575471.8489680507,591744.5443377624,608017.239707474,624289.9350771857,640604.5703834173,568002.2781913639
992,366050.9074995965,385632.1852273128,405213.46295502904,424794.74068274535,444376.0184104616,463971.9857688814,449919.49590963125,461856.6789475827,473799.3487094981,485742.01847141364,497684.68823332916,509627.3579952446,521584.7173878636,533527.3871497791,545470.0569116945,557412.72667361,519191.56266524637,536289.0377220301,553387.7678608611,570486.4979996921,587585.2281385232,604683.9582773542,621782.6884161853,638881.4185550163,655980.1486938472,673122.9477247887,596835.2170539923
993,371928.55965034047,391824.2524957156,411719.9453410908,431615.63818646595,451511.33103184117,471421.9493782256,457143.8197362231,469272.67723288876,481407.10955343634,493541.54187398404,505675.9741945317,517810.4065150793,529959.7643366363,542094.1966571839,554228.6289777315,566363.0612982792,527528.1829069293,544900.1908469292,562273.4740217355,579646.7571965416,597020.0403713479,614393.3235461542,631766.6067209603,649139.8898957665,666513.1730705728,683931.2327484068,606418.5556697039
994,371639.17981735413,391519.3927751989,411399.60573304363,431279.81869088835,451160.03164873313,471055.15849476826,456788.13798290363,468907.5585953462,481032.5496941667,493157.5407929872,505282.5318918078,517407.5229906283,529547.4279776394,541672.4190764598,553797.4101752803,565922.4012741009,527117.738445206,544476.230056261,561835.9959099228,579195.7617635846,596555.5276172465,613915.2934709084,631275.0593245702,648634.825178232,665994.591031894,683399.0985501271,605946.7303801255
995,372526.8846041271,392454.5838367328,412382.2830693385,432309.9823019442,452237.6815345499,472180.330278958,457879.2312762099,470027.6005794117,482181.55367476685,494335.50677012204,506489.45986547717,518643.41296083236,530812.31556799,542966.2686633451,555120.2217587002,567274.1748540554,528376.8224304863,545776.7768821972,563178.0086201965,580579.2403581957,597980.472096195,615381.7038341943,632782.9355721936,650184.1673101928,667585.3990481921,685031.4793215987,607394.1068740468
996,368364.12945470127,388069.14910087956,407774.16874705785,427479.18839323614,447184.2080394144,466904.01014594245,452762.71698802453,464775.3358555826,476793.4761199059,488811.61638422916,500829.7566485525,512847.89691287576,524880.8196375488,536898.9599018721,548917.1001661953,560935.2404305186,522472.5416139565,539678.0624476196,556884.846294695,574091.6301417705,591298.4139888459,608505.1978359213,625711.9816829967,642918.7655300722,660125.5493771476,677376.6806052722,600606.8572804834
997,365282.8201457592,384823.01033213496,404363.20051851065,423903.3907048864,443443.58089126216,462998.4298849795,448975.426470182,460887.56162778666,472805.17199652136,484722.78236525616,496640.392733991,508558.0031027258,520490.2722788022,532407.882647537,544325.4930162717,556243.1033850065,518102.13913061784,535163.738427761,552226.5901734035,569289.4419190459,586352.2936646882,603415.1454103307,620477.9971559732,637540.8489016156,654603.700647258,671710.5288149252,595582.8732593128
998,360395.34086424817,379674.0835654819,398952.8262667156,418231.5689679493,437510.311669183,456803.5170431108,442968.1412277362,454720.89217516064,466479.0450754629,478237.1979757652,489995.3508760676,501753.5037763699,513526.11934936634,525284.2722496687,537042.4251499709,548800.5780502732,511169.9393909832,528003.2547161592,544837.8057320903,561672.3567480212,578506.9077639523,595341.4587798833,612176.0097958143,629010.5608117452,645845.1118276763,662723.0508616896,587613.9823262102
999,356202.6813565884,375257.14478803956,394311.60821949074,413366.0716509419,432420.53508239315,451489.2929350232,437814.8709760866,449430.89628526405,461052.260703696,472673.62512212794,484294.98954055994,495916.35395899194,507552.0127986028,519173.3772170348,530794.7416354667,542416.1060538987,505223.2434617903,521860.7283986648,538499.4346508847,555138.1409031047,571776.8471553246,588415.5534075446,605054.2596597646,621692.9659119844,638331.6721642044,655013.261679961,580777.9745578362
1000,354832.7687932933,373813.9510558825,392795.13331847166,411776.31558106083,430757.49784365005,449752.9195527978,436131.0877719194,447702.4392483621,459279.10930048884,470855.77935261565,482432.44940474245,494009.11945686926,505600.0289555546,517176.6990076814,528753.3690598081,540330.039111935,503280.21578481974,519853.7149606947,536428.4307548837,553003.1465490725,569577.8623432614,586152.5781374504,602727.2939316393,619302.0097258281,635876.7255200171,652494.1596538817,578544.3724950955
1001,362729.93530438846,382133.56320923014,401537.1911140718,420940.8190189135,440344.44692375517,459762.63118861546,445837.63159681146,457666.5153459319,469500.83604108286,481335.15673623385,493169.4774313849,505003.7981265359,516852.67518170556,528686.9958768566,540521.3165720075,552355.6372671585,514481.23219406785,531423.59156036,548367.1946220524,565310.7976837445,582254.4007454367,599198.0038071289,616141.6068688212,633085.2099305133,650028.8129922055,667016.0851339536,591420.4697596985
1002,372671.4128240268,392606.84335071035,412542.2738773939,432477.70440407743,452413.134930761,472363.5207691675,458056.8734087923,470209.9558810637,482368.62431181665,494527.29274256964,506685.96117332263,518844.6296040756,531018.2533465516,543176.9217773046,555335.5902080575,567494.2586388105,528581.8153175454,545988.5203812179,563396.5032267241,580804.4860722302,598212.4689177363,615620.4517632425,633028.4346087485,650436.4174542547,667844.4002997607,685297.2490804357,607629.7558773056
1003,373545.4209581736,393527.6050802188,413509.7892022641,433491.97332430934,453474.15744635457,473471.3319540878,459131.1319096722,471312.71641502215,483499.89997933025,495687.0835436384,507874.26710794657,520061.4506722548,532263.6246222509,544450.8081865591,556637.9917508672,568825.1753151753,529821.4725336672,547269.0006958947,564717.8096366755,582166.6185774561,599615.4275182368,617064.2364590175,634513.0453997982,651961.8543405789,669410.6632813596,686904.4433792041,609054.8003827643
