t,EU27.Solar,EU27.WindOnshore,EU27.WindOffshore
0,0.0,0.0,0.0
1,0.0003658536585365854,0.32343260448027755,0.5206059999999999
2,0.00024369884767295083,0.3256790580190846,0.440324
3,0.00020298057738507265,0.332173738327295,0.45517399999999997
4,0.00020298057738507265,0.3440323136194316,0.451883
5,0.00020298057738507265,0.3523944991580344,0.435187
6,0.00020298057738507265,0.3648489564729295,0.40611499999999995
7,0.0013089905940795634,0.3679347604225136,0.42605200000000004
8,0.01662140152286331,0.3692108485992754,0.44830699999999996
9,0.054874689523189045,0.36313893708220646,0.421018
10,0.10587493383281078,0.36588642394244014,0.43516800000000005
11,0.13884563703733865,0.3759211231310915,0.508894
12,0.15181410073700072,0.3838710006633669,0.504548
13,0.14518893277413575,0.3935492039597897,0.44692200000000004
14,0.11298230791155991,0.40070737868041023,0.420944
15,0.07442047721812778,0.4041172756034087,0.41934799999999994
16,0.03714157742579095,0.4155133438791652,0.49093400000000004
17,0.01362372246426972,0.4258906975557483,0.48232700000000006
18,0.002241947962050572,0.43747703730162785,0.502454
19,0.0006712406856956718,0.44105826146859217,0.46806900000000007
20,0.00043711063154037224,0.448015767719549,0.468913
21,0.0003353149558206768,0.4497530234219522,0.42158100000000004
22,0.00037603322610855496,0.445195246721437,0.4396459999999999
23,0.00034549452339264634,0.44459426187681794,0.413321
24,0.0003353149558206768,0.43420478899831605,0.404688
25,0.0002538784152449204,0.42776706893912336,0.44059899999999996
26,0.00016226230709719448,0.4229046537735368,0.504398
27,0.00016226230709719448,0.4189689748430883,0.5396219999999999
28,0.00016226230709719448,0.4249901132826452,0.5399400000000001
29,0.00016226230709719448,0.4349543935296219,0.545044
30,0.00026405798281688993,0.44260250293412257,0.625483
31,0.0028113929720265476,0.43945833545950913,0.725348
32,0.02026385439146545,0.42867103383170885,0.713338
33,0.0714042713465532,0.415735699341736,0.696
34,0.13880013437029196,0.40669266979639734,0.6751199999999999
35,0.19112728531291992,0.4005229116701536,0.623583
36,0.22009436459139217,0.4001372659080472,0.5930030000000001
37,0.21010464595463982,0.39978102515691183,0.544041
38,0.16160328189258522,0.39037008215543195,0.499725
39,0.09168828128181115,0.37165293157115886,0.49234300000000003
40,0.04107984852803452,0.3543292340664387,0.456717
41,0.015789730852233397,0.3390603153543909,0.42406000000000005
42,0.00259701127896087,0.3329915293157116,0.418929
43,0.0004888228348059775,0.323789100372506,0.431542
44,0.00046744574290484147,0.3180982420778691,0.377188
45,0.00043690704018893285,0.3056440399040669,0.376165
46,0.0003758296347571156,0.2921958080318416,0.415121
47,0.0003351113644692374,0.2859992600908302,0.42332299999999995
48,0.0003249317968972678,0.2801568479869368,0.45160200000000006
49,0.0003351113644692374,0.27020717456753585,0.552677
50,0.0003351113644692374,0.2609405776394346,0.536625
51,0.00024349525632151145,0.2578122289125886,0.5534720000000001
52,0.00017223828331772465,0.25798872276368834,0.549454
53,0.0001824178508896942,0.2573032224320049,0.548369
54,0.0003961887699010547,0.26233677348573764,0.525994
55,0.0015014862168655075,0.2642276241261417,0.530715
56,0.01829258113115355,0.26310857529213655,0.508271
57,0.07256301152327048,0.2542504592539674,0.46432300000000004
58,0.14331650311494765,0.2407993570444456,0.40737799999999996
59,0.18736339020318418,0.22769454508343115,0.34532
60,0.1978884522985464,0.22005019901005254,0.287014
61,0.18511696323140195,0.20949705312037556,0.250555
62,0.14484577955128466,0.20429345052814207,0.23419600000000002
63,0.08386803208599697,0.20529609123845485,0.21857600000000002
64,0.03673897552831956,0.21266565035464613,0.21061300000000002
65,0.013577914410195856,0.23059231004745626,0.202547
66,0.0023111690215399648,0.24201886768382916,0.226005
67,0.0004136976261248422,0.24568881716589275,0.25689700000000004
68,0.0003556740909646159,0.24739807113333676,0.263491
69,0.0003556740909646159,0.24452951982446294,0.248227
70,0.0003658536585365854,0.23522720314333825,0.249231
71,0.00039639236125249403,0.22905642445272234,0.243495
72,0.0003556740909646159,0.2263848420676634,0.268955
73,0.00027423755038885947,0.2279003801602286,0.347699
74,0.00019280100981310312,0.2308022273817421,0.467052
75,0.00019280100981310312,0.23884287135786092,0.5579770000000001
76,0.00017244187466916404,0.24881869673929685,0.6046759999999999
77,0.00018262144224113358,0.2607383145379395,0.611511
78,0.0002538784152449204,0.26755338827371533,0.6014860000000001
79,0.0021211164949712937,0.2738425524314946,0.5871529999999999
80,0.01774064497740136,0.27863091289483083,0.524147
81,0.058892157661142565,0.27790752411083336,0.541309
82,0.11311321715053545,0.2824755702403429,0.5587489999999999
83,0.15413921576611425,0.28967916007552175,0.5572050000000001
84,0.16263711877519443,0.29929415216614785,0.570998
85,0.15002921535893154,0.30378916415777923,0.554909
86,0.1169453153630034,0.29923789355513597,0.516813
87,0.07696791400301314,0.2916848879930602,0.522413
88,0.0388634512805896,0.2866231438485483,0.538424
89,0.014826947351276517,0.29354537684339443,0.560415
90,0.0022918278431532228,0.2973369648415574,0.5924950000000001
91,0.00041776945315363004,0.29676174924733373,0.6041610000000001
92,0.00034549452339264634,0.29401579323365823,0.597726
93,0.00032513538824870716,0.2976938434454253,0.598054
94,0.0003556740909646159,0.2976028218604889,0.607036
95,0.0003556740909646159,0.3052473592896872,0.6143270000000001
96,0.0003149558206767376,0.30816547175588105,0.6143099999999999
97,0.000202878781709353,0.3123943078022146,0.601856
98,0.00019269921413738345,0.31853019594835946,0.5785440000000001
99,0.00016216051142147478,0.32851507883859776,0.565789
100,0.00017234007899344435,0.3372203015767719,0.557412
101,0.00017234007899344435,0.3356393835791193,0.56971
102,0.00019269921413738345,0.3414513701076695,0.571192
103,0.0019850156765340607,0.33439557075062515,0.5924659999999999
104,0.014063683374730239,0.3252284788488034,0.576977
105,0.047497149721079844,0.31355213808235954,0.5538240000000001
106,0.10347774746528765,0.2982275348267592,0.556373
107,0.14020735779144103,0.2841290758789611,0.530941
108,0.15720438535771,0.2758031203755677,0.49771099999999996
109,0.14704395537277576,0.2713977266928611,0.49378299999999997
110,0.11838114336902968,0.2618223452569271,0.488068
111,0.08003033511136448,0.24844268255345206,0.5305240000000001
112,0.041773178875361375,0.24954278716130018,0.517448
113,0.016724316951015922,0.25681909220799104,0.501909
114,0.0030429781342888548,0.26328143338266063,0.5049239999999999
115,0.0007016775927358607,0.26399614736949534,0.4972160000000001
116,0.0003453927277169267,0.2591309256518855,0.519165
117,0.00038611099800480483,0.2504501326733683,0.5173180000000001
118,0.0003352131601449571,0.24546123131091488,0.5095900000000001
119,0.00039629056557677437,0.24286223656682152,0.529701
120,0.0003862127936805245,0.23924070010715925,0.5032599999999999
121,0.0003047762531047681,0.2339206893912333,0.486624
122,0.00022333971252901176,0.2285304510894525,0.446342
123,0.0002131601449570422,0.22392349594325658,0.406487
124,0.00015208273952522494,0.21804459866306064,0.386559
125,0.00015208273952522494,0.2105063912843803,0.367282
126,0.00026405798281688993,0.19713297953768433,0.31848899999999997
127,0.0029205179363980616,0.18787225085472262,0.278402
128,0.01893409747953907,0.18062898657957854,0.295144
129,0.06892127122439838,0.17086550237281217,0.270838
130,0.12612290809886398,0.1589489462672858,0.29168099999999997
131,0.1609996335355674,0.15353427820584784,0.253159
132,0.17554460686510037,0.15485131652804,0.220033
133,0.15755395170813144,0.1587207863448487,0.228789
134,0.12152774950120121,0.16021661478797775,0.232504
135,0.07825522211816442,0.16511864060825635,0.262025
136,0.0407153182132823,0.17160381691075166,0.30434700000000003
137,0.016927501119752435,0.18538666632647857,0.345565
138,0.0033433771733376765,0.19892623871000664,0.378247
139,0.0007628567938433976,0.20460446752053885,0.381427
140,0.0004981880369721895,0.2088997040363321,0.30836399999999997
141,0.0004778289018282504,0.21224122314639998,0.299907
142,0.0004880084694002199,0.21082678471194571,0.351723
143,0.0005389063072600677,0.209412473848038,0.371041
144,0.000508367604544159,0.20622333775577892,0.344614
145,0.0004981880369721895,0.20377589682094197,0.28472800000000004
146,0.0004880084694002199,0.2062610986375466,0.269462
147,0.0004574697666843113,0.20844096035107418,0.24627200000000002
148,0.0003149558206767376,0.20891718120120428,0.25742800000000005
149,0.0003047762531047681,0.21288628361483897,0.293619
150,0.0005389063072600677,0.21291409399397868,0.260134
151,0.0025309458854187875,0.20825917232229424,0.181284
152,0.016689604625595503,0.20751996479052914,0.145457
153,0.05884237957571563,0.20452862683063733,0.159349
154,0.11407172523311208,0.2016025412052865,0.245982
155,0.1501626694898001,0.20187356483135174,0.416846
156,0.16694154892300178,0.2088868831964076,0.5647300000000001
157,0.15500091616108147,0.2169707098025208,0.6546960000000001
158,0.12230363614153669,0.22982172016124922,0.672419
159,0.0796567449814732,0.24992230953717406,0.672759
160,0.04133739158760537,0.27688351533397965,0.702047
161,0.017199906347978338,0.31278065520232684,0.6729759999999999
162,0.0032069709678732845,0.34836518344644596,0.678966
163,0.0004340567612687813,0.37913022401387964,0.718712
164,0.0004035180585528727,0.4092868806449967,0.736381
165,0.0004035180585528727,0.4318172424350667,0.69098
166,0.0003984282747668879,0.43337028626830637,0.651327
167,0.00043711063154037224,0.43827282237077103,0.65361
168,0.0004167514963964331,0.4370503138235443,0.6426069999999999
169,0.00040657192882446357,0.42927335816706647,0.652019
170,0.00037603322610855496,0.4273137470020921,0.6359130000000001
171,0.0003658536585365854,0.4265702658570189,0.637238
172,0.00037603322610855496,0.42785317905801906,0.600227
173,0.00037603322610855496,0.4271593866408123,0.56682
174,0.0006814202532676413,0.43622997142419756,0.560555
175,0.0037646076794657763,0.43821886002959637,0.542151
176,0.021544647583370664,0.43667021738021117,0.5485969999999999
177,0.061194470458894895,0.43611356330050516,0.5802510000000001
178,0.10668451484180952,0.4316691330305659,0.626944
179,0.14173632884075085,0.43349556054498134,0.63646
180,0.1520100574127611,0.4463344517017911,0.643038
181,0.13651410888065474,0.4538970888401286,0.651034
182,0.1057857608208803,0.45205809562688165,0.7083379999999999
183,0.06734048617614723,0.45626843394397104,0.728051
184,0.03789975161855124,0.4625731617084247,0.715346
185,0.01686041776945315,0.4688749553503087,0.722388
186,0.0030756545461948777,0.4777178904934429,0.747831
187,0.0007730363614153672,0.48113863091289477,0.750873
188,0.00043711063154037224,0.48088763586263206,0.750289
189,0.0004472901991123418,0.4825523677093433,0.743598
190,0.00043711063154037224,0.4723427055161503,0.7474400000000001
191,0.00039639236125249403,0.4730876537225086,0.7120569999999999
192,0.0003047762531047681,0.4690352477420012,0.698971
193,0.00026405798281688993,0.46261864060825636,0.650251
194,0.00027423755038885947,0.46071809460631724,0.648688
195,0.0002741357547131398,0.4493967188855438,0.6477639999999999
196,0.0002639561871411702,0.4423311603816911,0.648331
197,0.0002639561871411702,0.4327411083329081,0.646649
198,0.0005082658088684394,0.43236732663162736,0.685854
199,0.0019087707154200088,0.42640869775986123,0.745366
200,0.012687609430351398,0.41855838903913867,0.774234
201,0.04722728938474693,0.4086784967086799,0.775755
202,0.09544057168451484,0.40244769607592995,0.77472
203,0.13654230628282912,0.40196854110323,0.774692
204,0.14901614479416914,0.4060114430780221,0.78613
205,0.13885754713139786,0.4147852987702199,0.786296
206,0.10740217435563337,0.41514657855794257,0.790057
207,0.07297599657966529,0.4097146884727254,0.7960050000000001
208,0.04059275621971579,0.40176257845588614,0.7975240000000001
209,0.01752453275784845,0.3882103128029801,0.80406
210,0.003196689604625595,0.3836304026126448,0.7922469999999999
211,0.00045736797100859165,0.3762942031943665,0.8091020000000001
212,0.000426829268292683,0.3683696484155739,0.7889709999999999
213,0.000426829268292683,0.35139734398122163,0.7317049999999999
214,0.000426829268292683,0.3261587232739705,0.6611090000000001
215,0.0003352131601449571,0.3112618640608256,0.5598099999999999
216,0.0003250335925729875,0.29785624075113537,0.44223999999999997
217,0.0003453927277169267,0.2903258789610655,0.347155
218,0.0003352131601449571,0.27725028065520235,0.268425
219,0.0003453927277169267,0.26901777057712917,0.21335500000000002
220,0.0003352131601449571,0.2681731259886717,0.156254
221,0.0003250335925729875,0.2618963999591774,0.097773
222,0.0004980862412964698,0.25738486758177276,0.063693
223,0.0020950568019870515,0.248901681379803,0.039705000000000004
224,0.016465450547660736,0.23976884216971986,0.024763999999999998
225,0.050851928010098135,0.23042187579731593,0.026044
226,0.10630583492813227,0.21917506506097872,0.026279000000000004
227,0.15411875483529458,0.21569966066234622,0.024775
228,0.17210574534793757,0.2133441343062714,0.030562
229,0.16529897389958875,0.21205044139409096,0.046599
230,0.1291235392320534,0.21106942389141198,0.053439
231,0.0847580316788143,0.2093333801092004,0.052287
232,0.04574656948572824,0.2067838827371536,0.068209
233,0.018574046174518504,0.2044166198907996,0.101781
234,0.0035763874750600593,0.20791575241108334,0.140319
235,0.0008625147603729794,0.214360169923968,0.189387
236,0.0004655116250661672,0.21325011481349185,0.224295
237,0.00026192027362677636,0.21499017706791856,0.258386
238,0.00026192027362677636,0.2240770270959841,0.28695099999999996
239,0.00026192027362677636,0.23174790784303723,0.316956
240,0.00027220163687446556,0.23543622748379853,0.333859
241,0.000262022069302496,0.23724224371077204,0.390352
242,0.0002518425017305265,0.24151694136857685,0.530981
243,0.0002418665255099963,0.2521256442312599,0.632411
244,0.0002518425017305265,0.2648234423636271,0.645844
245,0.00022130379901461785,0.274316604582334,0.669811
246,0.0003943564477381001,0.28387259529519815,0.685264
247,0.001195590211327823,0.2972308899321325,0.664373
248,0.017844680157986893,0.30050977190386285,0.665302
249,0.059118449448267434,0.30196713782721846,0.6882910000000001
250,0.12110926747831752,0.30549357044445574,0.679978
251,0.1584122928457999,0.31130683267847126,0.663801
252,0.1694297406246183,0.32324207786906156,0.679888
253,0.15984791726047476,0.33379152421288966,0.690478
254,0.1311992548556537,0.34130039036587234,0.693187
255,0.08543538010505314,0.34983218094606316,0.7016899999999999
256,0.045246650922268816,0.35263956217788434,0.6688189999999999
257,0.018838205953011115,0.35580127060264327,0.637068
258,0.0034981066004316137,0.3566275450324029,0.626193
259,0.0005266908261737041,0.34935749094249113,0.598244
260,0.00029256077201840464,0.34596519875491144,0.58435
261,0.0002823812044464351,0.34095480175537074,0.555708
262,0.0003026385439146545,0.33188262234015414,0.5338990000000001
263,0.0003229976790585936,0.3334258432413124,0.5118699999999999
264,0.0002518425017305265,0.32928203296422925,0.507895
265,0.00015004682601083106,0.3253783742409552,0.537371
266,0.0001398672584388615,0.32474147828749295,0.536377
267,0.0001398672584388615,0.3225095677909884,0.5182100000000001
268,0.00012968769086689195,0.321539393784763,0.606362
269,0.00012968769086689195,0.32936909986222374,0.651304
270,0.0002518425017305265,0.33739182017655767,0.661764
271,0.0015157376114662646,0.3490407332755014,0.652018
272,0.01735402500101796,0.35707506250956783,0.667404
273,0.06089346064579177,0.365056768893198,0.697654
274,0.11315037257217316,0.38172137316936267,0.7045929999999999
275,0.14145771407630603,0.40636200693983776,0.683686
276,0.157585711958956,0.4236224294534877,0.7082309999999999
277,0.15295808054073864,0.4306997882328928,0.73446
278,0.1273272527383037,0.4363479103944481,0.742075
279,0.08283266826825196,0.4374068097157729,0.754871
280,0.044066126470947514,0.44342737408787064,0.757818
281,0.018753002972433732,0.44320865438587537,0.7523009999999999
282,0.0038981636060100165,0.4457068683982242,0.7601040000000001
283,0.0008727961236206687,0.4455051793641883,0.7557
284,0.000506331691029765,0.4412614175639129,0.7463919999999999
285,0.000506331691029765,0.4287082844312906,0.73487
286,0.00042489515045400874,0.41700521763535237,0.748433
287,0.0003943564477381001,0.4095388962596316,0.7456229999999999
288,0.0003943564477381001,0.40515506199928564,0.743644
289,0.0004147155828820392,0.39556609430014805,0.7300730000000001
290,0.0003943564477381001,0.38241127468490077,0.722271
291,0.0003943564477381001,0.38326478542634074,0.7058150000000001
292,0.00040453601531006966,0.3874627494004184,0.669177
293,0.0003943564477381001,0.3911830892483544,0.737258
294,0.000821898285760821,0.3965094147063326,0.808999
295,0.004017977116332098,0.40578028524774207,0.8372729999999999
296,0.018421250865263243,0.4218377175077817,0.831714
297,0.058212569730037876,0.4363333673521457,0.813759
298,0.10468789445824342,0.453708412001837,0.80683
299,0.13273799828983265,0.46798897790478156,0.7707579999999999
300,0.14261014292112872,0.4727825687605245,0.736034
301,0.13701606335762856,0.47169636934224624,0.714873
302,0.10580693432143004,0.47254292748890125,0.712443
303,0.07275733946821938,0.47765831504822165,0.7127859999999999
304,0.04160501241907243,0.4832499872429453,0.712482
305,0.018932366953051834,0.4972886156044292,0.71412
306,0.003735290524858504,0.5128945757003622,0.712683
307,0.0007608208803290038,0.522350806245854,0.709871
308,0.0003129199071623437,0.5219906745930499,0.649652
309,0.0003027403395903742,0.5239136092259019,0.656375
310,0.00029256077201840464,0.5167153135684034,0.674718
311,0.00036381774502219146,0.506585255396234,0.637957
312,0.00020094466387067875,0.5183364800734805,0.649288
313,7.878985300704427e-05,0.5152143823034138,0.5929439999999999
314,8.896942057901379e-05,0.5083478338521205,0.5766899999999999
315,8.896942057901379e-05,0.4947352273307139,0.582914
316,8.896942057901379e-05,0.4861153492881565,0.615989
317,8.896942057901379e-05,0.479146999540746,0.7152270000000001
318,0.0003027403395903742,0.48028543909782107,0.682624
319,0.0033590537073985094,0.47577582027861404,0.6354049999999999
320,0.017774542937416017,0.4656767617492473,0.630909
321,0.06617003949672218,0.4526194698168088,0.6751010000000001
322,0.13028360275255507,0.44099505026279534,0.683219
323,0.18331884441548926,0.44383662040108185,0.681192
324,0.20069556985219267,0.445885658519161,0.687541
325,0.1900467242151553,0.4511819411134356,0.688314
326,0.15547670914939532,0.4506820559269276,0.675689
327,0.09701514719654711,0.442324399142726,0.666283
328,0.04624954191945926,0.4327044318007858,0.657989
329,0.01899364794983509,0.418259363678114,0.6467280000000001
330,0.0041231320493505435,0.41437477675154366,0.6528510000000001
331,0.001181237021051346,0.41173853140786854,0.6396639999999999
332,0.001045848772344151,0.4085298132367199,0.630722
333,0.0010560283399161205,0.40173623513803125,0.615925
334,0.0010153100696282424,0.3850986758177271,0.6144639999999999
335,0.0007811800154729428,0.3739544318007858,0.6510670000000001
336,0.0007710004479009732,0.3648573761289994,0.6932820000000001
337,0.0007913595830449123,0.36664699954074603,0.731175
338,0.0006895639073252169,0.37607497321018524,0.642468
339,0.0005572295288896128,0.3785257947645048,0.633488
340,0.0005470499613176433,0.3834941572689698,0.6511170000000001
341,0.0005470499613176433,0.3829269786191764,0.641062
342,0.0006488456370373387,0.3861030387304179,0.597431
343,0.0026159452746447333,0.3864622773893963,0.578597
344,0.026265422044871534,0.37446203500535796,0.539905
345,0.0853989372531455,0.36195878195642195,0.50038
346,0.15451127896086972,0.3580463208654385,0.533345
347,0.19787450629097272,0.3635023217839465,0.526149
348,0.21499877845189136,0.36939997193447976,0.557134
349,0.20498900606702228,0.36779028677858855,0.587723
350,0.16626033226108555,0.36576306322396285,0.608654
351,0.09972189421393379,0.37389262387100064,0.608034
352,0.04235015676534061,0.3750327856304536,0.590464
353,0.012220876257176595,0.3798221028728887,0.587537
